Dosja,Arkiva,Fondi,Viti,Dosja,Faqja,Titulli,Anglisht,Citimi ,Shenime,,,,
"AQSH , F., V.1949, D.40, Fl.  . ",AQSH,14-APOU,1949,40,9-13,Raport mbi gjendjen e studentave dhe organizatave te partise te studentave jashte.,Report on the situation of students and their party organizations abroad,"AQSH, F.14-APOU, V.1949, D.40, Fl.9-13. Document title: Raport mbi gjendjen e studentave dhe organizatave te partise te studentave jashte.[Report on the situation of students and their party organizations abroad.]",,,,,
"MPJ 166/1949, p. 9. ",MEPJ,MPJ,1949,166,17,"legata e Shqiperise ne Beograd derguar Ministrise se Puneve te Jashtme, dt. 3.02.1949. ","Embassy of the Republic of Albania to the Ministry of Foreign Affairs, 3.02.1949","MEPJ, F.MPJ, V.1949, D.166, Fl.17. Document title: legata e Shqiperise ne Beograd derguar Ministrise se Puneve te Jashtme, dt. 3.02.1949. [Embassy of the Republic of Albania to the Ministry of Foreign Affairs, 3.02.1949.]",,,,,
MAK 1949/65,AQSH,511,1949,65,1,Flete Biografi,Biography formular,"AQSH, F.511, V.1949, D.65, Fl.1. Document title: Flete Biografi[Biography formular.]",,,,,
MAK 1949/76,AQSH,511,1949,76,2,"Instituti i Larte Pedagogjik - Shkoder derguar Ministrise se Arsimit, dt. 3.8.1949","Higher Institute of Pedagogy - Shkoder to Ministry of Education, 3.8.1949","AQSH, F.511, V.1949, D.76, Fl.2. Document title: Instituti i Larte Pedagogjik - Shkoder derguar Ministrise se Arsimit, dt. 3.8.1949[Higher Institute of Pedagogy - Shkoder to Ministry of Education, 3.8.1949.]",,,,,
"MPJ 341/1949, p. 1_3",MEPJ,MPJ,1949,341,1-3,Qarkore e Ministrise se Puneve te Jashtme. (n.d.),Circular of the Ministry of Foreign Affairs (n.d),"MEPJ, F.MPJ, V.1949, D.341, Fl.1-3. Document title: Qarkore e Ministrise se Puneve te Jashtme. (n.d.)[Circular of the Ministry of Foreign Affairs (n.d).]",,,,,
14_1949_1_2,AQSH,14-APOU,1949,2,1-15,Mbi realizimin e planit prej Janari ne Shtator 1949,On the fulfillment of the plan from January to September 1949,"AQSH, F.14-APOU, V.1949, D.2, Fl.1-15. Document title: Mbi realizimin e planit prej Janari ne Shtator 1949[On the fulfillment of the plan from January to September 1949.]",,,,,
14_1949_1_2,AQSH,14-APOU,1949,2,17-20,Rezolucion: Mbledhje te zgjeruar te Pleniumit te III-te te Komitetit Qendror te Partise se Punes se Shqiperise.,Rezolution: Broad meeting of the III Plenium of the Central Committee of the Party of Labor of Albania,"AQSH, F.14-APOU, V.1949, D.2, Fl.17-20. Document title: Rezolucion: Mbledhje te zgjeruar te Pleniumit te III-te te Komitetit Qendror te Partise se Punes se Shqiperise.[Rezolution: Broad meeting of the III Plenium of the Central Committee of the Party of Labor of Albania.]",,,,,
459_1949_124,AQSH,495,1949,124,7,Realizimi i planit per vitin shkollor 1949-1950,Fulfillment of plan for the school year 1949-1950,"AQSH, F.495, V.1949, D.124, Fl.7. Document title: Realizimi i planit per vitin shkollor 1949-1950[Fulfillment of plan for the school year 1949-1950.]",,,,,
14_apstr_1949_551,AQSH,511,1949,551,,Kritikat ndaj studentit Isuf Alibali nga pedagoget sovjetik ,Review of the work of Isuf Alibali from his Soviet supervisors … ,"AQSH, F.511, V.1949, D.551, Fl.. Document title: Kritikat ndaj studentit Isuf Alibali nga pedagoget sovjetik [Review of the work of Isuf Alibali from his Soviet supervisors … .]",,,,,
" AQSH, F. 14, V. 1950, D. 87, Fl. 16. Tiranë, Shqipëri. ",AQSH,14-APOU,1950,87,16,"Vendim i Komitetit Qendror të Partisë së Punës, Nr. 91, 26 Qershor 1950.","Decree of the Central Committee of the Party of Labor. No. 91, 26.06.1950","AQSH, F.14-APOU, V.1950, D.87, Fl.16. Document title: Vendim i Komitetit Qendror të Partisë së Punës, Nr. 91, 26 Qershor 1950.[Decree of the Central Committee of the Party of Labor. No. 91, 26.06.1950.]",,,,,
"aqsh, 14, 1950/80, fleta 2",AQSH,14-APOU,1950,80,2,Relacion mbi aktivitetin e Institutit te Shkencave per vitin 1949 dhe mbi problemet e Projekt-Planin e tij per vitin 1950,Report on the activities of the Institute of Sciences for 1949 and the Draft-Plan for 1950. ,"AQSH, F.14-APOU, V.1950, D.80, Fl.2. Document title: Relacion mbi aktivitetin e Institutit te Shkencave per vitin 1949 dhe mbi problemet e Projekt-Planin e tij per vitin 1950[Report on the activities of the Institute of Sciences for 1949 and the Draft-Plan for 1950. .]",,,,,
